content_id,content_type,language,genre,run_time
CJSMENACT08eef,Movie,English,Action,120
CJSMENACT0b071,Movie,English,Action,120
CJSMENACT0d817,Movie,English,Action,120
CJSMENACT0dc6b,Movie,English,Action,120
CJSMENACT0ff71,Movie,English,Action,120
CJSMENACT10b2a,Movie,English,Action,120
CJSMENACT1e511,Movie,English,Action,120
CJSMENACT2f1dc,Movie,English,Action,120
CJSMENACT2fa29,Movie,English,Action,120
CJSMENACT36b0b,Movie,English,Action,120
CJSMENACT449c7,Movie,English,Action,120
CJSMENACT450a6,Movie,English,Action,120
CJSMENACT4c979,Movie,English,Action,120
CJSMENACT4e92d,Movie,English,Action,120
CJSMENACT55478,Movie,English,Action,120
CJSMENACT59fc8,Movie,English,Action,120
CJSMENACT617c3,Movie,English,Action,120
CJSMENACT6f7a3,Movie,English,Action,120
CJSMENACT78192,Movie,English,Action,120
CJSMENACT79e21,Movie,English,Action,120
CJSMENACT7a8f6,Movie,English,Action,120
CJSMENACT87faf,Movie,English,Action,120
CJSMENACT8fbf1,Movie,English,Action,120
CJSMENACT981b6,Movie,English,Action,120
CJSMENACT9b237,Movie,English,Action,120
CJSMENACTa1eb0,Movie,English,Action,120
CJSMENACTa83e1,Movie,English,Action,120
CJSMENACTb6d05,Movie,English,Action,120
CJSMENACTb78fe,Movie,English,Action,120
CJSMENACTb894e,Movie,English,Action,120
CJSMENACTc6210,Movie,English,Action,120
CJSMENACTc9bd4,Movie,English,Action,120
CJSMENACTd55bd,Movie,English,Action,120
CJSMENACTde257,Movie,English,Action,120
CJSMENACTe0699,Movie,English,Action,120
CJSMENACTe325c,Movie,English,Action,120
CJSMENACTe3263,Movie,English,Action,120
CJSMENACTe611b,Movie,English,Action,120
CJSMENACTe775e,Movie,English,Action,120
CJSMENACTeb580,Movie,English,Action,120
CJSMENACTed905,Movie,English,Action,120
CJSMENACTf9107,Movie,English,Action,120
CJSMENACTf9f68,Movie,English,Action,120
CJSMENADV017d8,Movie,English,Adventure,120
CJSMENADV08f21,Movie,English,Adventure,120
CJSMENADV21fd1,Movie,English,Adventure,120
CJSMENADV42c46,Movie,English,Adventure,120
CJSMENADV456e0,Movie,English,Adventure,120
CJSMENADV50371,Movie,English,Adventure,120
CJSMENADV52832,Movie,English,Adventure,120
CJSMENADV5e402,Movie,English,Adventure,120
CJSMENADV6b20d,Movie,English,Adventure,120
CJSMENADV8362a,Movie,English,Adventure,120
CJSMENADV94b3b,Movie,English,Adventure,120
CJSMENADV99fc6,Movie,English,Adventure,120
CJSMENADV9dbef,Movie,English,Adventure,120
CJSMENADVa2fca,Movie,English,Adventure,120
CJSMENADVac514,Movie,English,Adventure,120
CJSMENADVb966a,Movie,English,Adventure,120
CJSMENADVcf4c2,Movie,English,Adventure,120
CJSMENADVd512d,Movie,English,Adventure,120
CJSMENADVeb129,Movie,English,Adventure,120
CJSMENADVebbed,Movie,English,Adventure,120
CJSMENADVf7a07,Movie,English,Adventure,120
CJSMENADVf9b51,Movie,English,Adventure,120
CJSMENCOM04521,Movie,English,Comedy,120
CJSMENCOM3c1d3,Movie,English,Comedy,120
CJSMENCOMb4259,Movie,English,Comedy,120
CJSMENDRA00d25,Movie,English,Drama,120
CJSMENDRA0c6ef,Movie,English,Drama,120
CJSMENDRA2ec0c,Movie,English,Drama,120
CJSMENDRA607a4,Movie,English,Drama,120
CJSMENDRA6c3d7,Movie,English,Drama,120
CJSMENDRA8a710,Movie,English,Drama,120
CJSMENDRAb387c,Movie,English,Drama,120
CJSMENDRAb9f1c,Movie,English,Drama,120
CJSMENDRAc9a70,Movie,English,Drama,120
CJSMENDRAd219d,Movie,English,Drama,120
CJSMENDRAf1d44,Movie,English,Drama,120
CJSMENDRAf3d19,Movie,English,Drama,120
CJSMENDRAfa503,Movie,English,Drama,120
CJSMENFAN03713,Movie,English,Fantasy,120
CJSMENFAN09e23,Movie,English,Fantasy,120
CJSMENFAN2e6fc,Movie,English,Fantasy,120
CJSMENFAN30d20,Movie,English,Fantasy,120
CJSMENFAN32242,Movie,English,Fantasy,120
CJSMENFAN3b878,Movie,English,Fantasy,120
CJSMENFAN4bcd7,Movie,English,Fantasy,120
CJSMENFAN4e121,Movie,English,Fantasy,120
